Date,Open,High,Low,Close,Adj Close,Volume
02-01-2019,10868.85,10895.35,10735.05,10792.5,10792.5,309700
03-01-2019,10796.8,10814.05,10661.25,10672.25,10672.25,286200
04-01-2019,10699.7,10741.05,10628.65,10727.35,10727.35,296600
07-01-2019,10804.85,10835.95,10750.15,10771.8,10771.8,269400
08-01-2019,10786.25,10818.45,10733.25,10802.15,10802.15,277700
09-01-2019,10862.4,10870.4,10749.4,10855.15,10855.15,333000
10-01-2019,10859.35,10859.35,10801.8,10821.6,10821.6,254400
11-01-2019,10834.75,10850.15,10739.4,10794.95,10794.95,260800
14-01-2019,10807,10808,10692.35,10737.6,10737.6,298800
15-01-2019,10777.55,10896.95,10777.55,10886.8,10886.8,310700
16-01-2019,10899.65,10928.15,10876.9,10890.3,10890.3,276500
17-01-2019,10920.85,10930.65,10844.65,10905.2,10905.2,271700
18-01-2019,10914.85,10928.2,10852.2,10906.95,10906.95,323800
21-01-2019,10919.35,10987.45,10885.75,10961.85,10961.85,288800
22-01-2019,10949.8,10949.8,10864.15,10922.75,10922.75,300800
23-01-2019,10931.05,10944.8,10811.95,10831.5,10831.5,298900
24-01-2019,10844.05,10866.6,10798.65,10849.8,10849.8,361100
25-01-2019,10859.75,10931.7,10756.45,10780.55,10780.55,463400
28-01-2019,10792.45,10804.45,10630.95,10661.55,10661.55,419700
29-01-2019,10653.7,10690.35,10583.65,10652.2,10652.2,356900
30-01-2019,10702.25,10710.2,10612.85,10651.8,10651.8,410100
31-01-2019,10690.55,10838.05,10678.55,10830.95,10830.95,604800
01-02-2019,10851.35,10983.45,10813.45,10893.65,10893.65,482300
04-02-2019,10876.75,10927.9,10814.15,10912.25,10912.25,318300
05-02-2019,10908.65,10956.7,10886.7,10934.35,10934.35,268100
06-02-2019,10965.1,11072.6,10962.7,11062.45,11062.45,298500
07-02-2019,11070.45,11118.1,11043.6,11069.4,11069.4,263500
08-02-2019,11023.5,11041.2,10925.45,10943.6,10943.6,352800
11-02-2019,10930.9,10930.9,10857.1,10888.8,10888.8,286000
